country,indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Czechia,Spirits,3.94,3.92,3.9,4.01,3.53,3.64,3.75,3.86,3.74,3.86
Czechia,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,All types,3.54,2.54,3.09,3.13,3.13,3.2,3.28,3.13,3.16,3.35
Democratic People's Republic of Korea,Beer,0.23,0.2,0.2,0.21,0.19,0.19,0.19,0.18,0.14,0.15
Democratic People's Republic of Korea,Wine,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,Spirits,3.31,2.34,2.89,2.92,2.94,3.01,3.09,2.95,3.02,3.2
Democratic People's Republic of Korea,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,All types,0.55,0.47,0.52,0.48,0.62,0.7,0.77,1.08,1.26,1.17
Democratic Republic of the Congo,Beer,0.29,0.26,0.27,0.27,0.31,0.33,0.41,0.48,0.53,0.54
Democratic Republic of the Congo,Wine,0,0,0,0.01,0.01,0.01,0.02,0.23,0.18,0.23
Democratic Republic of the Congo,Spirits,0.01,0.02,0.01,0.01,0.03,0.03,0.04,0.03,0.07,0.02
Democratic Republic of the Congo,Other alcoholic beverages,0.25,0.19,0.24,0.19,0.27,0.33,0.31,0.34,0.49,0.38
Denmark,All types,11.68,11.55,11.33,11.54,11.27,11.27,11.02,11,10.71,10.09
Denmark,Beer,5.75,5.56,5.48,5.47,5.11,5.05,4.92,4.77,4.51,4.13
Denmark,Wine,4.52,4.59,4.43,4.47,4.32,4.44,4.34,4.42,4.47,4.38
Denmark,Spirits,1.41,1.39,1.42,1.6,1.85,1.78,1.69,1.74,1.66,1.52
Denmark,Other alcoholic beverages,0,0,0,0,0,0,0.07,0.07,0.06,0.05
Djibouti,All types,1.34,0.95,1.03,1.02,1.18,1.23,1.02,0.46,0.45,0.49
Djibouti,Beer,0.23,0.22,0.3,0.24,0.24,0.21,0.2,0.18,0.17,0.21
Djibouti,Wine,0.03,0.06,0.07,0.08,0.07,0.08,0.04,0.06,0.06,0.07
Djibouti,Spirits,1.08,0.67,0.66,0.7,0.87,0.94,0.75,0.22,0.21,0.21
Djibouti,Other alcoholic beverages,0,0,0,0,0,0,0.03,0.01,0.01,0
Dominica,All types,8.86,8.62,8.36,7.15,8.42,8.12,8.62,8.51,9.74,7.45
Dominica,Beer,0.8,0.98,0.82,0.3,0.85,0.5,0.77,0.83,0.98,0.43
Dominica,Wine,1.17,0.89,0.99,0.81,0.76,0.86,0.71,1.13,1.36,0.63
Dominica,Spirits,6.85,6.72,6.51,6.03,6.79,6.69,7.11,6.53,7.38,6.35
Dominica,Other alcoholic beverages,0.04,0.02,0.03,0.01,0.01,0.07,0.03,0.02,0.03,0.05
Dominican Republic,All types,6.66,6.21,6.51,6.4,5.23,5.79,6.3,6.14,6.21,6.15
Dominican Republic,Beer,2.66,2.41,2.72,2.65,2.06,2.75,3.38,2.92,3.08,3.24
Dominican Republic,Wine,0.21,0.14,0.14,0.16,0.13,0.13,0.15,0.16,0.15,0.15
Dominican Republic,Spirits,3.78,3.65,3.64,3.59,2.98,2.85,2.7,3,2.91,2.68
